date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:51	407578/407578	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Oct%202017%2011:36:30%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_2_570x570_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_2_570x570_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:03:53	384613/384613	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:02:58%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_3_570x570_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_3_570x570_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:03:57	15824/15824	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:03:58%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_1_98x98_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_1_98x98_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:00	16183/16183	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:01%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_2_98x98_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_2_98x98_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:00	417329/417329	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:03:02%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_4_570x570_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_4_570x570_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:01	15638/15638	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:03%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_3_98x98_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_3_98x98_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:03	15792/15792	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:05%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_4_98x98_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_4_98x98_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:05	0/-1	---M--	302	error ('')			https://theme330-drugs.myshopify.com/account/addresses	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/addresses.19f.delayed	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:06	16009/16009	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:08%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_5_98x98_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_5_98x98_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:14	414788/414788	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:03:48%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_5_570x570_crop_top.png?v=1494316455	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_made_vitamin_d3_2000_iu_value_5_570x570_crop_top4c45.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
